DATE,DOGE,TWEETS (Paste them here)
02/08/22,1,"Why is the ""traditional"" media such a relentless hatestream? Real question. 2.Most news outlets attemot to answer the questions:""What are the worst things happening on Earth today?"" It's a big planet! Obviously, some bad things are happening somewhere at any given time, but focusing relentlessly on those does not give an accurate picture of reality."
02/09/22,0,
02/10/22,1,Tower arms are lifting Starship onto SUper Heavy Booster 2. Much appreciated!
02/11/22,0,
02/12/22,1,"The duty of a leader is to serve their people, not for the people to server them "
02/13/22,0,
02/14/22,0,
02/15/22,1,Starship to Mars simulation 2. This will be real in our lifetime 3.Over 250k Starlink usr terminals 4.Destacking Starship
02/16/22,0,
02/17/22,0,
02/18/22,1,"Reasons to hate are remembered better than reasons to love 2. An evolutionary asymmetry helpful to survival, but counterproductive when survival is not at stake"
02/19/22,1,So amazing that we decompress from a singel cell to over 30trillion cells
02/20/22,1,I'm dropping a new album 2. I think it will reach #2
02/21/22,0,
02/22/22,1,M Night should do a horror movie about this -  it would resonate 2.Entertainment is becoming a username/password/2FA nightmare 3.tau>pi 4.h
02/23/22,0,
02/24/22,0,
02/25/22,0,
02/26/22,0,
02/27/22,0,
02/28/22,0,
